"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C201, C203";"C_0603_1608Metric";2;"100nF";;;
2;"C202, C204";"C_0805_2012Metric";2;"10uF";;;
3;"J201";"FPC-SMD_P0.50-16P_FGS-XJ-H2.0";1;"MAIN BOARD FFC";;;
4;"R201, R202";"R_0603_1608Metric";2;"4.7k";;;
5;"SW201";"SW-SMD_L3.9-W3.0-P4.45";1;"OK";;;
6;"SW202";"SW-SMD_L3.9-W3.0-P4.45";1;"TOP LEFT";;;
7;"SW203";"SW-SMD_L3.9-W3.0-P4.45";1;"TOP RIGHT";;;
8;"SW204";"SW-SMD_L3.9-W3.0-P4.45";1;"BOTTOM LEFT";;;
9;"SW205";"SW-SMD_L3.9-W3.0-P4.45";1;"BOTTOM RIGHT";;;
10;"U201";"OLED-TH_L27.8-W27.2-P2.54_C9900033791";1;"HS96L03W2C03 0.96 OLED";;;
11;"U202";"MID-SMD_L4.7-W3.8_INMP441ACEZ";1;"INMP441ACEZ";;;
