"Comment","Designator","Footprint","LCSC Part #"
"100nF","C201,C203","Capacitor_SMD:C_0603_1608Metric",""
"10uF","C202,C204","Capacitor_SMD:C_0805_2012Metric",""
"MAIN BOARD FFC","J201","WalkieTalkie_JLCPCB:FPC-SMD_P0.50-16P_FGS-XJ-H2.0","C262272"
"4.7k","R201,R202","Resistor_SMD:R_0603_1608Metric",""
"OK","SW201","WalkieTalkie_JLCPCB:SW-SMD_L3.9-W3.0-P4.45","C455280"
"TOP LEFT","SW202","WalkieTalkie_JLCPCB:SW-SMD_L3.9-W3.0-P4.45","C455280"
"TOP RIGHT","SW203","WalkieTalkie_JLCPCB:SW-SMD_L3.9-W3.0-P4.45","C455280"
"BOTTOM LEFT","SW204","WalkieTalkie_JLCPCB:SW-SMD_L3.9-W3.0-P4.45","C455280"
"BOTTOM RIGHT","SW205","WalkieTalkie_JLCPCB:SW-SMD_L3.9-W3.0-P4.45","C455280"
"HS96L03W2C03 0.96 OLED","U201","WalkieTalkie_JLCPCB:OLED-TH_L27.8-W27.2-P2.54_C9900033791","C5248080"
"INMP441ACEZ","U202","WalkieTalkie_JLCPCB:MID-SMD_L4.7-W3.8_INMP441ACEZ","C9900011556"
