"Designator","Mid X","Mid Y","Layer","Rotation"
"C201","96.515000","-110.180000","T","0.000000"
"C202","96.650000","-104.560000","T","0.000000"
"C203","102.715000","-106.700000","T","0.000000"
"C204","108.925000","-104.350000","T","0.000000"
"J201","69.432500","-85.400000","T","-90.000000"
"R201","101.280000","-109.780000","T","0.000000"
"R202","108.875000","-109.975000","T","0.000000"
"SW201","88.570000","-101.200000","T","0.000000"
"SW202","76.750000","-100.770000","T","0.000000"
"SW203","76.640000","-113.230000","T","0.000000"
"SW204","88.250000","-113.440000","T","0.000000"
"SW205","105.100000","-113.920000","T","0.000000"
"U202","105.650000","-99.420000","T","180.000000"
