Ref,Val,Package,PosX,PosY,Rot,Side
"C201","100nF","C_0603_1608Metric",96.515000,-110.180000,0.000000,top
"C202","10uF","C_0805_2012Metric",96.650000,-104.560000,0.000000,top
"C203","100nF","C_0603_1608Metric",102.715000,-106.700000,0.000000,top
"C204","10uF","C_0805_2012Metric",108.925000,-104.350000,0.000000,top
"J201","MAIN BOARD FFC","FPC-SMD_P0.50-16P_FGS-XJ-H2.0",69.432500,-85.400000,-90.000000,top
"R201","4.7k","R_0603_1608Metric",101.280000,-109.780000,0.000000,top
"R202","4.7k","R_0603_1608Metric",108.875000,-109.975000,0.000000,top
"SW201","OK","SW-SMD_L3.9-W3.0-P4.45",88.570000,-101.200000,0.000000,top
"SW202","TOP LEFT","SW-SMD_L3.9-W3.0-P4.45",76.750000,-100.770000,0.000000,top
"SW203","TOP RIGHT","SW-SMD_L3.9-W3.0-P4.45",76.640000,-113.230000,0.000000,top
"SW204","BOTTOM LEFT","SW-SMD_L3.9-W3.0-P4.45",88.250000,-113.440000,0.000000,top
"SW205","BOTTOM RIGHT","SW-SMD_L3.9-W3.0-P4.45",105.100000,-113.920000,0.000000,top
"U202","INMP441ACEZ","MID-SMD_L4.7-W3.8_INMP441ACEZ",105.650000,-99.420000,180.000000,top
