"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","103.000000","-133.600000","T","0.000000"
"C2","103.000000","-137.800000","T","0.000000"
"C3","115.000000","-104.960000","T","0.000000"
"C4","109.200000","-142.000000","T","0.000000"
"C5","109.000000","-146.400000","T","0.000000"
"C6","115.000000","-107.470000","T","0.000000"
"C7","118.000000","-100.000000","T","0.000000"
"C8","120.200000","-94.000000","T","0.000000"
"C9","130.600000","-143.190000","T","0.000000"
"C10","130.600000","-146.200000","T","0.000000"
"C11","130.000000","-138.200000","T","0.000000"
"C12","115.000000","-109.980000","T","0.000000"
"C13","114.400000","-94.000000","T","0.000000"
"C14","132.000000","-112.490000","T","0.000000"
"C15","112.800000","-100.200000","T","0.000000"
"C16","127.200000","-112.200000","T","0.000000"
"D1","107.200000","-86.200000","T","90.000000"
"D2","103.600000","-128.800000","T","0.000000"
"D3","103.800000","-125.800000","T","0.000000"
"J1","118.000000","-150.000000","T","0.000000"
"J2","129.200000","-105.800000","T","-90.000000"
"J3","124.200000","-58.567500","T","0.000000"
"L1","130.200000","-116.200000","T","0.000000"
"Q1","125.000000","-144.800000","T","0.000000"
"Q2","121.000000","-87.400000","T","0.000000"
"Q3","115.000000","-87.400000","T","0.000000"
"R1","120.000000","-109.800000","T","0.000000"
"R2","126.000000","-83.400000","T","0.000000"
"R3","126.000000","-85.910000","T","0.000000"
"R4","126.000000","-88.420000","T","0.000000"
"R5","117.600000","-135.490000","T","0.000000"
"R6","117.600000","-138.000000","T","0.000000"
"R7","117.600000","-140.510000","T","0.000000"
"R8","134.000000","-136.490000","T","0.000000"
"R9","134.000000","-139.000000","T","0.000000"
"R10","134.000000","-141.510000","T","0.000000"
"R11","102.600000","-89.200000","T","0.000000"
"R12","102.600000","-93.890000","T","0.000000"
"R13","102.800000","-98.800000","T","0.000000"
"R14","131.600000","-85.180000","T","0.000000"
"R15","131.600000","-87.690000","T","0.000000"
"R20","131.600000","-90.200000","T","0.000000"
"R21","131.600000","-92.710000","T","0.000000"
"R22","131.600000","-95.220000","T","0.000000"
"R23","131.600000","-97.730000","T","0.000000"
"R24","125.000000","-91.690000","T","0.000000"
"R25","125.000000","-94.200000","T","0.000000"
"R26","125.000000","-96.710000","T","0.000000"
"R27","125.000000","-99.220000","T","0.000000"
"R28","120.200000","-105.200000","T","0.000000"
"R29","132.000000","-121.800000","T","0.000000"
"SW1","104.000000","-115.970000","T","0.000000"
"SW2","104.000000","-120.200000","T","0.000000"
"U1","118.000000","-123.500000","T","-90.000000"
"U2","122.200000","-138.000000","T","0.000000"
"U3","108.400000","-137.600000","T","0.000000"
"U4","107.400000","-106.600000","T","0.000000"
"U5","107.400000","-94.600000","T","0.000000"
"U6","131.800000","-128.400000","T","0.000000"
"U7","112.800000","-138.000000","T","0.000000"
"U8","104.600000","-145.800000","T","0.000000"
